JobID,JobName,Account,AveCPU,AveRSS,AveVMSize,CPUTime,Elapsed,ElapsedRaw,ExitCode,MaxRSS,MaxVMSize,MaxDiskRead,MaxDiskReadNode,MaxDiskReadTask,MaxDiskWrite,MaxDiskWriteNode,MaxDiskWriteTask,MaxPages,ReqCPUS,ReqMem,ReqNodes,NCPUS,NNodes,User,Eligible,Start,End,Suspended
7501187,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:01:09,2024-09-22T17:01:11,00:00:00
7501187.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,9,1,130000Mc,1,1,1,,2024-09-22T17:01:09,2024-09-22T17:01:09,2024-09-22T17:01:11,00:00:00
7501166,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:56:08,2024-09-22T16:56:10,00:00:00
7501166.batch,batch,soh,00:00:00,0,153048K,00:00:02,00:00:02,2,0:0,0,153048K,0,c2509,0,0,c2509,0,8,1,130000Mc,1,1,1,,2024-09-22T16:56:08,2024-09-22T16:56:08,2024-09-22T16:56:10,00:00:00
7501180,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:01,00:00:01,1,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:59:39,2024-09-22T16:59:40,00:00:00
7501180.batch,batch,soh,00:00:00,0,152916K,00:00:01,00:00:01,1,0:0,0,152916K,0,c2509,0,0,c2509,0,7,1,130000Mc,1,1,1,,2024-09-22T16:59:39,2024-09-22T16:59:39,2024-09-22T16:59:40,00:00:00
7501167,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:56:08,2024-09-22T16:56:10,00:00:00
7501167.batch,batch,soh,00:00:00,0,153052K,00:00:02,00:00:02,2,0:0,0,153052K,0,c2509,0,0,c2509,0,10,1,130000Mc,1,1,1,,2024-09-22T16:56:08,2024-09-22T16:56:08,2024-09-22T16:56:10,00:00:00
7501201,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:04:40,2024-09-22T17:04:42,00:00:00
7501201.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,13,1,130000Mc,1,1,1,,2024-09-22T17:04:40,2024-09-22T17:04:40,2024-09-22T17:04:42,00:00:00
7501191,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:02:09,2024-09-22T17:02:11,00:00:00
7501191.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,14,1,130000Mc,1,1,1,,2024-09-22T17:02:09,2024-09-22T17:02:09,2024-09-22T17:02:11,00:00:00
7501188,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:01:39,2024-09-22T17:01:41,00:00:00
7501188.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,9,1,130000Mc,1,1,1,,2024-09-22T17:01:39,2024-09-22T17:01:39,2024-09-22T17:01:41,00:00:00
7501184,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:00:39,2024-09-22T17:00:41,00:00:00
7501184.batch,batch,soh,00:00:00,0,152916K,00:00:02,00:00:02,2,0:0,0,152916K,0,c2509,0,0,c2509,0,7,1,130000Mc,1,1,1,,2024-09-22T17:00:39,2024-09-22T17:00:39,2024-09-22T17:00:41,00:00:00
7501170,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:57:08,2024-09-22T16:57:10,00:00:00
7501170.batch,batch,soh,00:00:00,0,152916K,00:00:02,00:00:02,2,0:0,0,152916K,0,c2509,0,0,c2509,0,9,1,130000Mc,1,1,1,,2024-09-22T16:57:08,2024-09-22T16:57:08,2024-09-22T16:57:10,00:00:00
7501190,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:02:09,2024-09-22T17:02:11,00:00:00
7501190.batch,batch,soh,00:00:00,0,153048K,00:00:02,00:00:02,2,0:0,0,153048K,0,c2509,0,0,c2509,0,4,1,130000Mc,1,1,1,,2024-09-22T17:02:09,2024-09-22T17:02:09,2024-09-22T17:02:11,00:00:00
7501176,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:58:38,2024-09-22T16:58:40,00:00:00
7501176.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,7,1,130000Mc,1,1,1,,2024-09-22T16:58:38,2024-09-22T16:58:38,2024-09-22T16:58:40,00:00:00
7501173,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:51,2024-09-22T16:57:38,2024-09-22T16:57:40,00:00:00
7501173.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,13,1,130000Mc,1,1,1,,2024-09-22T16:57:38,2024-09-22T16:57:38,2024-09-22T16:57:40,00:00:00
7501186,wf-pomcppf-${SLURM_JOB_ID},soh,,,,00:00:02,00:00:02,2,0:0,,,,,,,,,,1,130000Mc,1,1,1,alirezas,2024-09-22T16:55:52,2024-09-22T17:01:09,2024-09-22T17:01:11,00:00:00
7501186.batch,batch,soh,00:00:00,0,153060K,00:00:02,00:00:02,2,0:0,0,153060K,0,c2509,0,0,c2509,0,10,1,130000Mc,1,1,1,,2024-09-22T17:01:09,2024-09-22T17:01:09,2024-09-22T17:01:11,00:00:00
